type,enum,name,valid,value (metric),x (mm),y (mm),z (mm)
measure,227,Stomach_Max_TapeMeasureBL,True,22.0,,,
measure,228,Stomach_Max_TapeMeasureBR,True,21.71,,,
measure,229,HipWidestTapeMeasureFL,True,24.28,,,
measure,230,HipWidestTapeMeasureFR,True,24.56,,,
measure,231,HipWidestTapeMeasureBL,True,25.64,,,
measure,232,HipWidestTapeMeasureBR,True,25.43,,,
measure,233,HipWidestCircumference,True,99.79,,,
measure,234,UpperArmCircumferenceLeft,True,34.91,,,
measure,235,UpperArmCircumferenceRight,True,34.45,,,
measure,236,WaistAt50_TapeMeasureFL,True,20.63,,,
measure,237,WaistAt50_TapeMeasureFR,True,20.6,,,
measure,238,WaistAt50_TapeMeasureBL,True,20.62,,,
measure,239,WaistAt50_TapeMeasureBR,True,20.61,,,
measure,240,SleeveLengthTapeMeasureLeft,True,87.1,,,
measure,241,SleeveLengthTapeMeasureRight,True,86.44,,,
measure,242,Actual_Weight,False,0.0,,,
measure,243,EstimatedCrotchHeight,True,83.83,,,
measure,244,BodyFatPercent,True,16.66,,,
measure,245,TrouserWaist,True,84.64,,,
measure,246,HighPrecisionChest,True,96.98,,,
measure,247,HighPrecisionSeat,True,101.32,,,
landmark,0,CrotchPoint,True,,-20.408593260810694,856.7614688273001,-56.70098760820663
landmark,1,NeckFront,True,,-22.02180784229504,1544.299458644857,43.31433132118261
landmark,2,NeckBack,True,,-28.997410749956494,1601.0705729297865,-62.81080659249811
landmark,3,NeckLeft,True,,32.28961336833939,1599.75716232282,-10.619070028238205
landmark,4,NeckRight,True,,-90.38715253227699,1592.3614424658317,-5.0432205237579
landmark,5,CollarFront,True,,-23.73996701721992,1603.3684099817658,84.30294321312171
landmark,6,CollarBack,True,,-27.119120991500836,1620.7578968512898,-57.622395821589436
landmark,7,CollarLeft,True,,30.818138150470766,1613.82231563946,13.039386654721811
landmark,8,CollarRight,True,,-85.2548415804665,1604.5995897720359,21.665649488456232
landmark,9,OverArmFront,True,,-18.097665216996244,1412.6394089333155,83.32418870866552
landmark,10,OverArmBack,True,,-20.874679217110902,1411.3960597291345,-134.46915082341764
landmark,11,OverArmLeft,True,,229.82252396236842,1415.706265255781,-41.814789765193936
landmark,12,OverArmRight,True,,-279.5642010318379,1401.8296197105592,-38.87582796302024
landmark,13,ShoulderLeft,True,,171.49715838897433,1507.0791279235696,-17.422473341118508
landmark,14,ShoulderRight,True,,-207.4677219165172,1503.3900083980845,-0.7303877646440932
landmark,15,ArmpitLeft,True,,157.07854068798255,1354.880008009036,-58.111687285287786
landmark,16,ArmpitRight,True,,-199.94870154104817,1333.6008932808522,-30.747627538758376
landmark,17,BustFront,True,,-8.21054910593499,1360.2616366338732,89.64792809680944
landmark,18,BustBack,True,,-25.26978539720235,1348.0995192539858,-139.0371294959029
landmark,19,BustLeft,True,,145.18298691231118,1356.411739519564,-18.66015196604941
landmark,20,BustRight,True,,-197.43942843302474,1332.1472443201421,-42.322934339474514
landmark,21,UnderBustFront,True,,-8.405732292317083,1317.5246675996978,90.853718165913
landmark,22,UnderBustBack,True,,-20.854454454338917,1304.8296643163703,-130.99115415275813
landmark,23,UnderBustLeft,True,,138.8289198025847,1326.148091911791,-32.24000123265467
landmark,24,UnderBustRight,True,,-177.11813492435977,1300.4375703594014,-27.27485284619955
landmark,25,StomachFPFront,True,,-6.629477686755301,1181.8101193699993,96.37144200925727
landmark,26,StomachFPBack,True,,-23.060536064161234,1175.3130457456602,-101.79107913189182
landmark,27,StomachFPLeft,True,,122.93500256243072,1150.5971333246493,-2.342797338586488
landmark,28,StomachFPRight,True,,-172.65809290586,1094.4709427574558,10.784382789517311
landmark,29,StomachMaxFront,True,,-10.005705907885996,1124.3877621939446,100.40712230788918
landmark,30,StomachMaxBack,True,,-31.600586045527738,1108.0366885553099,-108.2811067706817
landmark,31,StomachMaxLeft,True,,129.57899858940766,1098.863602727643,2.9941238186553223
landmark,32,StomachMaxRight,True,,-171.76687761253413,1091.0170805248606,17.67424301109339
landmark,33,WaistFront,True,,-6.57126322089416,1171.252504097176,96.40695248335241
landmark,34,WaistBack,True,,-21.01686387637684,1169.8320601817527,-102.23514570048361
landmark,35,WaistLeft,True,,122.74607281768179,1155.4838579610055,-13.694903248813954
landmark,36,WaistRight,True,,-160.29333377584499,1161.5510167069015,8.675502862066745
landmark,37,AbdomenFront,True,,-15.487115237169387,1073.259632035307,102.97219205783942
landmark,38,AbdomenBack,True,,-21.36030714556084,1062.9830859081628,-122.37158854786477
landmark,39,AbdomenLeft,True,,139.4302076799528,1057.4602312207328,-33.31844396644871
landmark,40,AbdomenRight,True,,-191.30696093486165,1029.8376104127587,-5.939736019630028
landmark,41,HipFront,True,,-12.337554537658908,921.399504477451,108.62397766506648
landmark,42,HipBack,True,,-24.89759522154443,917.2979417433623,-119.66648554345419
landmark,43,HipLeft,True,,169.91569450497434,920.6218576750241,1.4351976706387701
landmark,44,HipRight,True,,-204.2933278372525,914.1790337372714,33.02837943054885
landmark,45,SeatFront,True,,-10.388708690244904,963.2293211616611,105.80835948318021
landmark,46,SeatBack,True,,-21.51332325191044,970.7644388098712,-136.84190883026716
landmark,47,SeatLeft,True,,160.68412356017672,975.1836597686148,1.6032535816840332
landmark,48,SeatRight,True,,-202.0312699805291,954.6723624110557,-13.222973421179063
landmark,49,UpperLeftThighFront,True,,101.58000276808484,810.72085832795,80.4174741750628
landmark,50,UpperLeftThighBack,True,,86.88538207645502,804.5540916419775,-99.77765001381411
landmark,51,UpperLeftThighLeft,True,,175.60791774033277,816.0799476884517,12.317222271681684
landmark,52,UpperLeftThighRight,True,,-17.253954329999402,839.4697515274571,-23.70920087997963
landmark,53,UpperRightThighFront,True,,-122.07475908702247,807.7559617147538,95.5598816577566
landmark,54,UpperRightThighBack,True,,-139.1938274580141,797.830526367093,-86.06713416949123
landmark,55,UpperRightThighLeft,True,,-22.330359360831814,852.6206163655031,-50.784967112796046
landmark,56,UpperRightThighRight,True,,-208.33354314517683,808.1178650433429,31.333099985233382
landmark,57,MidLeftThighFront,True,,107.4087593190272,654.6316494402408,48.34489217001876
landmark,58,MidLeftThighBack,True,,99.70931852758349,670.6541603451248,-104.72107836566437
landmark,59,MidLeftThighLeft,True,,167.95784314666662,647.9964635523742,-20.758468907164595
landmark,60,MidLeftThighRight,True,,36.85334749565117,663.8248309495186,-13.466021069720762
landmark,61,MidRightThighFront,True,,-128.39070280251403,644.4313309162766,62.30834919855511
landmark,62,MidRightThighBack,True,,-115.53371683934061,661.9900835371549,-87.22032251815038
landmark,63,MidRightThighLeft,True,,-66.90222910535077,649.9721944661873,-6.697479353543095
landmark,64,MidRightThighRight,True,,-195.16325934503666,640.0184240750419,12.136918667665284
landmark,65,KneeLeftLegFront,True,,122.50346867421119,525.9229386786517,10.145236962109246
landmark,66,KneeLeftLegBack,True,,113.15459925995637,487.9409556847572,-124.81141609820008
landmark,67,KneeLeftLegLeft,True,,172.8592877116776,512.9289694629148,-43.04417054679918
